country,population,GDPperCapita,netFootprint,Area Abbreviation,continent,totalProduction,totalGHG,HDI2015,binomFootprint,transFootprint
Mongolia,2.8,373607,9.58,MNG,AS,3700,59.1136,0.735,1,3.201933104137889
Montenegro,0.62,725160,-0.54,MNE,EU,1848,3.4954,0.807,0,2.671386216730619
Morocco,32.52,314943,-0.96,MAR,AF,55660,72.5092,0.647,0,2.641910398597665
Mozambique,25.2,53882,1.19,MOZ,AF,28517,57.6554,0.418,1,2.784393767689544
Myanmar,52.8,111758,0.41,MMR,AS,74907,184.71190000000001,0.556,1,2.7350166493320245
Namibia,2.26,588080,4.4,NAM,AF,2800,22.4902,0.64,1,2.9652730660692823
Nepal,27.47,70007,-0.38,NPL,AS,36642,40.3376,0.558,0,2.6823904543216326
Netherlands,16.71,5358990,-4.11,NLD,EU,53832,207.5299,0.924,0,2.387844936944869
New Zealand,4.46,3748830,4.54,NZL,OC,11071,58.4731,0.915,1,2.972463646614637
Nicaragua,5.99,162685,0.87,NIC,"NA",5997,42.7009,0.645,1,2.7644305345383176
Niger,17.16,41091,-0.32,NER,AF,17834,26.0972,0.353,0,2.6864860231863696
Nigeria,168.83,261212,-0.47,NGA,AF,300911,474.8562,0.527,0,2.6762154775821916
Norway,4.99,10017200,3.19,NOR,EU,15224,24.1037,0.949,1,2.900871992530031
Oman,3.31,2262280,-5.6,OMN,AS,6293,109.3174,0.796,0,2.2407096892759584
Pakistan,179.16,121860,-0.44,PAK,AS,190493,341.6456,0.55,0,2.67827804276854
Panama,3.8,841077,0.15,PAN,"NA",5548,22.0508,0.788,1,2.7180005319553784
Paraguay,6.69,355731,6.36,PRY,SA,15626,110.9796,0.693,1,3.061520014091994
Peru,29.99,568473,1.69,PER,SA,47717,159.4985,0.74,1,2.8148097376737438
Philippines,96.71,237944,-0.56,PHL,AS,113184,157.5931,0.682,0,2.67000213346468
Poland,38.21,1376950,-2.36,POL,EU,110067,322.0662,0.855,0,2.5368663887187113
Portugal,10.6,2321730,-2.37,PRT,EU,28049,68.4781,0.843,0,2.5360749363624
